poseName, LShoulderPitch, LShoulderRoll, LElbowYaw, LElbowRoll, LWristYaw, RShoulderPitch, RShoulderRoll, RElbowYaw, RElbowRoll, RWristYaw, LHand, RHand, HeadPitch, HeadYaw, Joints
bowl, 0.796985, 0.00881456, -0.707278, -0.863581, -1.82383, 0.789256, -0.00880797, 0.71025, 0.857399, 1.82379,,,,,joints_arms
small_object_left_hand, 0.10472, -0.0523599, -1.39626, -0.191986, -1.815149,,,,,,,,,,joints_left_arm
small_object_right_hand,,,,, 0.10472, -0.0523599, 1.39626, 0.191986, 1.81514,,,,,,joints_right_arm
bottle, 0.781723, 0.00873155, -0.690057, -0.871938, -1.82384, 0.324122, -0.00874611, 0.16388, 0.579455, 1.82377,,,,,joints_arms
pringles, 0.514665, 0.0484047, -0.781569, -0.721599, -1.82386, 0.507025, -0.0570473, 0.796853, 0.710169, 1.82379,,,,,joints_arms
standard, 1.56717, 0.00878502, -1.56704, -0.00877923, -9.88085e-06, 1.55183, -0.00874544, -0.00385945, 0.00877765, 1.82379,,,,,joints_arms
point_there_right,,,,,, 0.139626, 0.0174533, -0.261799, 0.174533, 1.81514,,,,,joints_right_arm
point_there_left,0.139626, 0.0174533, -0.261799, 0.174533, -1.81514,,,,,,,,,,joints_left_arm
open_both_arms,-0.0523599, 0.139626, -0.279253, -0.0174533, -1.79769,-0.0523599, -0.139626, 0.279253, 0.0174533, 1.79769,,,,,joints_arms
basket,0.680678, 0.0174533, -1.20428, -0.628319, -1.81514, 0.785398, -0.0174533, 1.37881, 0.802851, 1.72788,,,,,joints_arms
up_head,,,,,,,,,,,,,-0.45, 0.0,joints_head
down_head,,,,,,,,,,,,,0.46, 0.0,joints_head
almost_down_head,,,,,,,,,,,,,0.30, 0.0,joints_head
default_head,,,,,,,,,,,,,0.0, 0.0,joints_head
open_left_hand,,,,,,,,,,,1.0,,,,joint_left_hand
almost_open_left_hand,,,,,,,,,,,0.75,,,,joint_left_hand
close_left_hand,,,,,,,,,,,0.0,,,,joint_left_hand
almost_close_left_hand,,,,,,,,,,,0.25,,,,joint_left_hand
open_right_hand,,,,,,,,,,,,1.0,,,joint_right_hand
almost_open_right_hand,,,,,,,,,,,,0.75,,,joint_right_hand
close_right_hand,,,,,,,,,,,,0.0,,,joint_right_hand
almost_close_right_hand,,,,,,,,,,,,0.25,,,joint_right_hand
open_both_hands,,,,,,,,,,,1.0, 1.0,,,joint_hands
almost_open_both_hands,,,,,,,,,,,0.75, 0.75,,,joint_hands
close_both_hands,,,,,,,,,,,0.0, 0.0,,,joint_hands
almost_close_both_hands,,,,,,,,,,,0.25, 0.25,,,joint_hands
both_arms_bowl,0.0659611,-0.00766993,-0.0368156,-0.271515,-1.43893,0.0138059,-0.0214758,-0.078233,0.383495,1.79474,,,,,joints_arms
both_arms_milk,0.0659611,-0.00766993,-0.0368156,-0.273049,-1.43893,0.0138059,-0.0199418,-0.078233,0.383495,1.79474,,,,,joints_arms
both_arms_cereal,0.0184078,0.0168738,-0.0306797,-0.136524,-1.47575,0.0138059,-0.107379,-0.078233,0.380427,1.7748,,,,,joints_arms
close_arms_bowl,0.3659611,-0.00766993,-0.7868156,-0.971515,-1.33893,0.3138059,-0.0214758,0.7868156,0.971515,1.33893,,,,,joints_arms
raise_arms_bowl,0.1659611,-0.00766993,-0.7868156,-0.971515,-1.33893,0.1138059,-0.0214758,0.7868156,0.971515,1.33893,,,,,joints_arms
close_arms_milk,-0.0523599, 0.139626,-0.0306797,-0.855592,-1.48035,-0.0523599, 0.139626,0.0306797,0.855592,1.48035,,,,,joints_arms
raise_arms_milk,-0.360486,0.119651,-0.0352817,-0.890291,-1.48189,-0.414175,-0.119651,-0.105845,0.891825,1.42044,,,,,joints_arms
close_arms_cereal,0.0245438,0.0276117,-0.0306797,-0.855592,-1.46348,0.073631,-0.101243,0.234699,0.500078,1.42044,,,,,joints_arms
raise_arms_cereal,-0.50468,0.0276117,-0.0306797,-0.474,-1.46348,-0.455592,-0.0997088,0.236233,0.521554,1.42198,,,,,joints_arms
serve_cereal_init,0.161068,0.0168738,-0.0306797,-0.455592,-1.46348,-0.314159,-0.107379,0.234699,0.500078,1.42044,,,,,joints_arms
serve_cereal_mid,0.227029,0.0168738,-0.52002,-0.477068,-1.8255,-0.701029,-0.10124,0.234699,0.500078,1.42044,,,,,joints_arms
test, -0.850039, 0.0087,0.0,-0.840194,-1.82857, -0.34668,-0.0087,-0.078233,0.932291,1.82235,,,,,joints_arms
bowl_hands,,,,,,,,,,,0.6, 0.6,,,joint_hands
